Straße;HausNr;Bemerkung;Name;Anzahl;Zeitbegrenzung
Neustrelitzer Straße;3;;Arztpraxen;1;
Niederkasseler Straße;79;;Massagepraxis;1;
Nikolaus-Knopp-Platz;22;;Stadtteilzentrum;1;Mo. - Fr. 8 - 18:00
Nordstraße;10;;Orthopädietechnik;1;
Nordstraße;74;;;1;
Nosthoffenstraße;14;;Praxis für Physiotherapie;1;Mo. - Do. 8 - 19:00 - Fr. 8 - 13:00
Oberbilker Allee;119;;Wohnanlage für Behinderte;2;
Oederallee;;;Tonhalle;3;
Oststraße;51;;Ärztehaus;1;Mo. - Fr. 7 - 20:00 Sa. 8 - 12:00
Paul-Pieper-Straße;22;;Arztpraxis;1;Mo. - Fr. 8 - 13:00
Paul-Thomas-Straße;35;;Stadtbad Niederheid;4;
Peter-Behrens-Straße;2;Parkplatz;Einkaufszentrum;2;
Pionierstraße;1;;Arztpraxis;1;
Pöhlenweg;41;;mehrere Berechtigte/Wohngebiet;1;
Posener Straße;;;Kirche;2;
Poststraße;1;;Maxkirche / Carlsplatz;1;
Potsdamer Straße;39;;DRK;1;8 - 18:00
Prinzenallee;19;;Ärztehaus;1;
Prinz-Georg-Straße;106;gegenüber;Arztpraxis;1;Mo. - Fr. 8 - 19:00
Quadenhofstraße;;Friedhofsparkplatz;Friedhof;2;
Quirinstraße;32;gegenüber - vor der Kirche;Kirchengemeinde;1;
Rather Straße;1;;Arztpraxis;1;Mo. - Fr. 9 - 17:00
Ratinger Straße;48/50;;Altstadt / Museen;2;
Reinhold-Schneider-Straße;29;;Einkaufszentrum;2;
Reisholzer Straße ;43;gegenüber;Einkaufsstraße;1;Mo. - Fr. 9 - 18:00 - Sa. 9 - 16:00
Reisholzer Straße ;52;;Ergotherapie;2;Mo. - Fr. 8 - 19:00
Rennbahnstraße;;;Wildpark;3;
Rethelstraße;3;;Einkaufsbereich;1;
Rheinbabenstraße;;Glockenstraße 24;Praxis für Physiotherapie;1;Mo. - Fr. 8 - 18:00
Rheindorfer Weg;2;;Arztpraxen und Physiotherapie;2;
Ricarda-Huch-Straße;1;;Willi-Fährman-Schule;1;Mo. - Fr. 7 - 17:00
Robert-Hansen-Straße;20;;Altenheim;3;
Rostocker Straße;28;;Arztpraxen;1;
Sankt-Göres-Straße;16;;Postfiliale;1;
Schäferstraße;2;;Praxis;1;werktags 7 - 19:00
Scheurenstraße;33 a;gegenüber;ARGE-Anlaufstelle;1;Mo. - Fr. 8 - 16:00
Schiessstraße;8 - 10;;Ärztehaus / Massagepraxis;1;Mo. - Fr. 8 - 18:00
Schiessstraße;;Parkplatz - Friedhof;Friedhof;2;
Schirmerstraße;80;;Arztpraxis;1;werktags 7 - 19:00
Schwanenmarkt;5;gegenüber;Innenstadt;1;
Sistenichstraße;7;;Einkaufsbereich /Markt;1;Mo. - Fr. 9 - 18:00 - Sa. 9 - 16:00
Stargarder Straße;3;;Claudius-Heim;1;
Steinstraße;34;;Innenstadt / Physiotherapie;1;
Sternstraße;7;;Praxis für Ergotherapie;1;Mo. - Fr. 9 - 19:00
Sternstraße;31;;DRK-Begegnungsstätte;3;Mo. - Fr. 8 - 23:00
Stockumer Höfe;;Parkplatz Europaplatz;Rheinbad;4;
Stockumer Kirchstraße;7;;Therapiezentrum "Die Eule";1;Mo. - Fr. 8 - 18:00
Tannenstraße;5;;Orthopädietechnik;1;Mo. - Fr. 9 - 18:00
Tersteegenstraße;9;;Ärztekammer Nordrhein;2;
Theodorstraße;342;;Arztpraxis;1;Mo. - Fr. 9 - 17:00
Thewissenweg;1 a;gegenüber;Friedhof;2;
Tonhallen-Ufer;;;Tonhalle / Innenstadt;5;
Uerdinger Straße;;unter Theodor-Heuss-Brücke;Einkaufsbereich;2;
Uhlandstraße;43;;Arztpraxis;1;Mo. - Di. - Do. 8 - 18:00 - Mi. - Fr. 8 - 14:00
Ulenbergstraße;11;;Freizeitpark;2;
Universitätsstraße;;im gesamten Verlauf durch Universitätsgelände;Universität;28;
Unterrather Straße;99;Mecklenburger Weg;Arztpraxis;1;werktags
Urdenbacher Allee;3;;Einkaufsbereich Benrath;1;
Urdenbacher Allee;7;;Einkaufsbereich Benrath;1;
Urdenbacher Allee;10;;Orangerie;4;
Urdenbacher Allee;83;;Krankenhaus;2;
Urdenbacher Allee;113;;Kirche;2;
Venloer Straße;5;;Ärztehaus;1;Mo. - Fr. 7 - 18:00
Venloer Straße;20;;Verwaltungsgebäude;1;Mo. - Fr. 9 - 18:00
Venloer Straße;5a;;Arztpraxis;1;Mo. - Fr. 7 - 18:00
Vennhauser Allee;182;;Arztpraxis;1;Mo. - Fr. 8 - 18:00
Vennhauser Allee;210;;Einkaufsbereich;1;Mo. - Fr. 9 - 20:00 - Sa. 8 - 14:00
Vennhauser Allee;228;;Betreutes Wohnen;1;
Völklinger Straße;3;;Arztpraxis;1;Mo. - Fr. 7 - 18:00
Volmerswerther Straße;6;;Praxis für Physiotherapie;1;werktags 7- 18:00
Volmerswerther Straße;68-70;gegenüber;IHK;2;Mo. - Sa. 7.30 - 17:00
Walther-Hensel-Straße;4;;Grimmke-Haus AWO;2;Mo. - Fr. 7 - 17:00
Walther-Rathenau-Straße;1;vor;Orthopädietechnik;1;Mo. - Di. - Do. - Fr. 9 - 18:00 - Mi. 9 - 13:00
Westfalenstraße;5;;Sanitätshaus;1;Mo. - Fr. 7 - 19:00
Westfalenstraße;24;;Einkaufsbereich;1;
Weststraße;1;;Einkaufszentrum;1;
Willi-Becker-Allee;7;;Sozialamt / Jugendamt;2;Mo. - Fr. 7 - 17:00
Willi-Becker-Allee;8;;Sozialamt / Jugendamt;2;Mo. - Fr. 7 - 17:00
Worringer Platz;19;;Worringer Platz;1;
Worringer Straße;140;gegenüber;Hauptbahnhof / Kinocenter;2;
Worringer Straße;;;Fernbusbahnhof;1;
Zeppenheimer Weg;3;;Diakonie;1;Mo. - Fr. 9 - 18:00
Zeppenheimer Weg;13;;Diakonie;1;
Ziegeleiweg;66;;Südpark;2;
Zollhof;30;;Medienhafen;2;
Zülpicher Straße;10;;Pressehaus;2;Mo. - Fr. 7 - 19:00
Rütgerstraße;2;;Marktplatz Eller, Rathaus;2;
Rütgerstraße;3;;Marktplatz Eller, Rathaus;1;
Paul-Bonatz-Straße;2;;Kirche;1;So.  10 - 13:00
Ludwig-Erhard-Allee;16;;;1;
